player,team,lg,season,replaced,all-star selections
Bam Adebayo,Giannis,NBA,2023,False,2
Giannis Antetokounmpo,Giannis,NBA,2023,False,7
DeMar DeRozan,Giannis,NBA,2023,False,6
Kevin Durant,Giannis,NBA,2023,False,13
Shai Gilgeous-Alexander,Giannis,NBA,2023,False,1
Jrue Holiday,Giannis,NBA,2023,False,2
Damian Lillard,Giannis,NBA,2023,False,7
Lauri Markkanen,Giannis,NBA,2023,False,1
Donovan Mitchell,Giannis,NBA,2023,False,4
Ja Morant,Giannis,NBA,2023,False,2
Domantas Sabonis,Giannis,NBA,2023,False,3
Pascal Siakam,Giannis,NBA,2023,False,2
Jayson Tatum,Giannis,NBA,2023,False,4
Jaylen Brown,LeBron,NBA,2023,False,2
Stephen Curry,LeBron,NBA,2023,False,9
Luka Dončić,LeBron,NBA,2023,False,4
Anthony Edwards,LeBron,NBA,2023,False,1
Joel Embiid,LeBron,NBA,2023,False,6
De'Aaron Fox,LeBron,NBA,2023,False,1
Paul George,LeBron,NBA,2023,False,8
Tyrese Haliburton,LeBron,NBA,2023,False,1
Kyrie Irving,LeBron,NBA,2023,False,8
Jaren Jackson Jr.,LeBron,NBA,2023,False,1
LeBron James,LeBron,NBA,2023,False,19
Nikola Jokić,LeBron,NBA,2023,False,5
Julius Randle,LeBron,NBA,2023,False,2
Zion Williamson,LeBron,NBA,2023,False,2
LaMelo Ball,Team Durant,NBA,2022,False,1
Devin Booker,Team Durant,NBA,2022,False,3
Kevin Durant,Team Durant,NBA,2022,False,13
Joel Embiid,Team Durant,NBA,2022,False,6
Rudy Gobert,Team Durant,NBA,2022,False,3
Draymond Green,Team Durant,NBA,2022,False,4
Zach LaVine,Team Durant,NBA,2022,False,2
Khris Middleton,Team Durant,NBA,2022,False,3
Ja Morant,Team Durant,NBA,2022,False,2
Dejounte Murray,Team Durant,NBA,2022,False,1
Jayson Tatum,Team Durant,NBA,2022,False,4
Karl-Anthony Towns,Team Durant,NBA,2022,False,3
Andrew Wiggins,Team Durant,NBA,2022,False,1
Trae Young,Team Durant,NBA,2022,False,2
Jarrett Allen,Team LeBron,NBA,2022,False,1
Giannis Antetokounmpo,Team LeBron,NBA,2022,False,7
Jimmy Butler,Team LeBron,NBA,2022,False,6
Stephen Curry,Team LeBron,NBA,2022,False,9
DeMar DeRozan,Team LeBron,NBA,2022,False,6
Luka Dončić,Team LeBron,NBA,2022,False,4
Darius Garland,Team LeBron,NBA,2022,False,1
James Harden,Team LeBron,NBA,2022,False,10
LeBron James,Team LeBron,NBA,2022,False,19
Nikola Jokić,Team LeBron,NBA,2022,False,5
Donovan Mitchell,Team LeBron,NBA,2022,False,4
Chris Paul,Team LeBron,NBA,2022,False,12
Fred VanVleet,Team LeBron,NBA,2022,False,1
Bradley Beal,Team Durant,NBA,2021,False,3
Devin Booker,Team Durant,NBA,2021,False,3
Mike Conley,Team Durant,NBA,2021,False,1
Anthony Davis,Team Durant,NBA,2021,False,8
Kevin Durant,Team Durant,NBA,2021,False,13
Joel Embiid,Team Durant,NBA,2021,False,6
James Harden,Team Durant,NBA,2021,False,10
Kyrie Irving,Team Durant,NBA,2021,False,8
Zach LaVine,Team Durant,NBA,2021,False,2
Kawhi Leonard,Team Durant,NBA,2021,False,5
Donovan Mitchell,Team Durant,NBA,2021,False,4
Julius Randle,Team Durant,NBA,2021,False,2
Jayson Tatum,Team Durant,NBA,2021,False,4
Nikola Vučević,Team Durant,NBA,2021,False,2
Zion Williamson,Team Durant,NBA,2021,False,2
Giannis Antetokounmpo,Team LeBron,NBA,2021,False,7
Jaylen Brown,Team LeBron,NBA,2021,False,2
Stephen Curry,Team LeBron,NBA,2021,False,9
Luka Dončić,Team LeBron,NBA,2021,False,4
Paul George,Team LeBron,NBA,2021,False,8
Rudy Gobert,Team LeBron,NBA,2021,False,3
LeBron James,Team LeBron,NBA,2021,False,19
Nikola Jokić,Team LeBron,NBA,2021,False,5
Damian Lillard,Team LeBron,NBA,2021,False,7
Chris Paul,Team LeBron,NBA,2021,False,12
Domantas Sabonis,Team LeBron,NBA,2021,False,3
Ben Simmons,Team LeBron,NBA,2021,False,3
