g,gs,mp,fg,fga,x3p,x3pa,x2p,x2pa,ft,fta,orb,drb,trb,ast,stl,blk,tov,pf,pts,player_id,player,pos,lg,age,experience,tm,season,mpg,fg%,3p%,2p%,ft%,rpg,apg,spg%,bpg,tpg,pfpg,ppg,all-star selections,aba mvp,aba roy,dpoy,mip,nba mvp,nba roy,smoy,championships,finals_appearances,fmvp,hof
58,0.0,0.0,223,870,0.0,0.0,223,870,121,193,0.0,0.0,0.0,60,0.0,0.0,0.0,115,567,1,al brightman,F,BAA,23.0,1,BOS,1947-1947,0.0,0.2563218390804597,0.0,0.2563218390804597,0.6269430051813472,0.0,1.0344827586206895,0.0,0.0,0.0,1.9827586206896552,9.775862068965518,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
5,0.0,0.0,1,8,0.0,0.0,1,8,2,5,0.0,0.0,0.0,0,0.0,0.0,0.0,6,4,2,al lujack,F,BAA,26.0,1,WSC,1947-1947,0.0,0.125,0.0,0.125,0.4,0.0,0.0,0.0,0.0,0.0,1.2,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
11,0.0,0.0,13,69,0.0,0.0,13,69,5,8,0.0,0.0,0.0,5,0.0,0.0,0.0,20,31,3,al negratti,F-C,BAA,25.0,1,WSC,1947-1947,0.0,0.1884057971014492,0.0,0.1884057971014492,0.625,0.0,0.4545454545454545,0.0,0.0,0.0,1.818181818181818,2.8181818181818183,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
161,0.0,0.0,558,1921,0.0,0.0,558,1921,243,315,0.0,0.0,0.0,117,0.0,0.0,0.0,284,1359,4,angelo musi,G,BAA,30.0,3,"PHW, PHW, PHW",1947-1949,0.0,0.2904737116085372,0.0,0.2904737116085372,0.7714285714285715,0.0,0.7267080745341615,0.0,0.0,0.0,1.763975155279503,8.440993788819876,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,0,no
301,0.0,0.0,820,2915,0.0,0.0,820,2915,587,833,0.0,0.0,141.0,317,0.0,0.0,0.0,757,2227,5,ariel maughan,F,NBA,27.0,5,"WSC, STB, STB, TOT, PRO, STB, DTF",1947-1951,0.0,0.281303602058319,0.0,0.281303602058319,0.7046818727490997,0.4684385382059801,1.053156146179402,0.0,0.0,0.0,2.514950166112957,7.398671096345515,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
12,0.0,0.0,4,15,0.0,0.0,4,15,2,3,0.0,0.0,0.0,0,0.0,0.0,0.0,5,10,6,armand cure,F,BAA,27.0,1,PRO,1947-1947,0.0,0.2666666666666666,0.0,0.2666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.8333333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
71,0.0,0.0,134,483,0.0,0.0,134,483,150,203,0.0,0.0,0.0,44,0.0,0.0,0.0,169,418,7,art hillhouse,C,BAA,31.0,2,"PHW, PHW",1947-1948,0.0,0.2774327122153209,0.0,0.2774327122153209,0.7389162561576355,0.0,0.6197183098591549,0.0,0.0,0.0,2.380281690140845,5.887323943661972,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,no
169,0.0,0.0,322,1149,0.0,0.0,322,1149,208,362,0.0,0.0,0.0,143,0.0,0.0,0.0,351,852,8,art spector,F,NBA,29.0,4,"BOS, BOS, BOS, BOS",1947-1950,0.0,0.2802436901653611,0.0,0.2802436901653611,0.574585635359116,0.0,0.8461538461538461,0.0,0.0,0.0,2.076923076923077,5.041420118343195,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
23,0.0,0.0,36,164,0.0,0.0,36,164,30,44,0.0,0.0,0.0,38,0.0,0.0,0.0,72,102,9,art stolkey,G,BAA,26.0,1,DTF,1947-1947,0.0,0.2195121951219512,0.0,0.2195121951219512,0.6818181818181818,0.0,1.6521739130434785,0.0,0.0,0.0,3.130434782608696,4.434782608695652,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
59,0.0,0.0,107,381,0.0,0.0,107,381,73,115,0.0,0.0,0.0,14,0.0,0.0,0.0,136,287,10,aubrey davis,G-F,BAA,25.0,1,STB,1947-1947,0.0,0.2808398950131233,0.0,0.2808398950131233,0.6347826086956522,0.0,0.2372881355932203,0.0,0.0,0.0,2.305084745762712,4.864406779661017,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
12,0.0,0.0,14,49,0.0,0.0,14,49,6,7,0.0,0.0,0.0,1,0.0,0.0,0.0,16,34,11,aud brindley,F,BAA,23.0,1,NYK,1947-1947,0.0,0.2857142857142857,0.0,0.2857142857142857,0.8571428571428571,0.0,0.0833333333333333,0.0,0.0,0.0,1.3333333333333333,2.8333333333333335,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
321,0.0,139.0,1481,4207,0.0,0.0,1481,4207,1085,1343,0.0,0.0,374.0,756,0.0,0.0,0.0,729,4047,12,belus smawley,SG,NBA,33.0,6,"BLB, TOT, SYR, BLB, STB, STB, STB, STB",1947-1952,0.4330218068535825,0.3520323270739244,0.0,0.3520323270739244,0.8078927773641102,1.165109034267913,2.3551401869158877,0.0,0.0,0.0,2.2710280373831777,12.607476635514018,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
2,0.0,0.0,0,2,0.0,0.0,0,2,2,4,0.0,0.0,0.0,0,0.0,0.0,0.0,3,2,13,ben goldfaden,F,BAA,33.0,1,WSC,1947-1947,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
52,0.0,0.0,33,166,0.0,0.0,33,166,37,60,0.0,0.0,0.0,19,0.0,0.0,0.0,83,103,14,ben scharnus,F,BAA,31.0,2,"PRO, CLR",1947-1949,0.0,0.1987951807228915,0.0,0.1987951807228915,0.6166666666666667,0.0,0.3653846153846153,0.0,0.0,0.0,1.5961538461538465,1.9807692307692308,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
47,0.0,0.0,35,146,0.0,0.0,35,146,14,41,0.0,0.0,0.0,11,0.0,0.0,0.0,92,84,15,bill davis,F,BAA,26.0,1,CHS,1947-1947,0.0,0.2397260273972602,0.0,0.2397260273972602,0.3414634146341463,0.0,0.2340425531914893,0.0,0.0,0.0,1.9574468085106385,1.7872340425531914,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,no
54,0.0,0.0,93,356,0.0,0.0,93,356,52,91,0.0,0.0,0.0,22,0.0,0.0,0.0,113,238,16,bob cluggish,C,BAA,29.0,1,NYK,1947-1947,0.0,0.2612359550561798,0.0,0.2612359550561798,0.5714285714285714,0.0,0.4074074074074074,0.0,0.0,0.0,2.092592592592593,4.407407407407407,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
57,0.0,0.0,111,563,0.0,0.0,111,563,74,111,0.0,0.0,0.0,40,0.0,0.0,0.0,92,296,17,bob dille,F,BAA,29.0,1,DTF,1947-1947,0.0,0.1971580817051509,0.0,0.1971580817051509,0.6666666666666666,0.0,0.7017543859649122,0.0,0.0,0.0,1.6140350877192982,5.192982456140351,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
196,0.0,0.0,633,2211,0.0,0.0,633,2211,387,585,0.0,0.0,0.0,273,0.0,0.0,0.0,509,1653,18,bob doll,F-C,NBA,30.0,4,"BOS, BOS, STB, STB",1947-1950,0.0,0.2862957937584803,0.0,0.2862957937584803,0.6615384615384615,0.0,1.3928571428571428,0.0,0.0,0.0,2.596938775510204,8.433673469387756,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
34,0.0,0.0,14,64,0.0,0.0,14,64,10,14,0.0,0.0,0.0,0,0.0,0.0,0.0,34,38,19,bob duffy,F,BAA,24.0,1,"TOT, CHS, BOS",1947-1947,0.0,0.21875,0.0,0.21875,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,1.0,1.1176470588235294,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
51,0.0,0.0,141,478,0.0,0.0,141,478,61,106,0.0,0.0,0.0,33,0.0,0.0,0.0,97,343,20,bob faught,F,BAA,25.0,1,CLR,1947-1947,0.0,0.2949790794979079,0.0,0.2949790794979079,0.5754716981132075,0.0,0.6470588235294118,0.0,0.0,0.0,1.9019607843137256,6.7254901960784315,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
221,0.0,0.0,1077,2977,0.0,0.0,1077,2977,782,972,0.0,0.0,0.0,440,0.0,0.0,0.0,592,2936,21,bob feerick,F-G,NBA,30.0,4,"WSC, WSC, WSC, WSC",1947-1950,0.0,0.3617735975814578,0.0,0.3617735975814578,0.8045267489711934,0.0,1.990950226244344,0.0,0.0,0.0,2.678733031674208,13.285067873303168,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,no
