W,L,G,GS,GF,CG,SHO,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,ROY,AS,GG,CY,name,Age,index,Tm,Awards,Lg,Year,W-L%,ERA,FIP,WHIP,H9,HR9,BB9,SO9,hof
2.0,1.0,45.0,0.0,22.0,0.0,0.0,61.3,69.0,30.0,27.0,13.0,21.0,2.0,33.0,1.0,0.0,0.0,0,0,0,0,A.J. Achter,27,665,"MIN, MIN, LAA","nan, nan, nan","AL, AL, AL",2014-2016,0.6666666666666666,4.376666666666666,5.843333333333334,1.4516666666666669,9.966666666666669,2.0,3.1666666666666665,5.633333333333333,no
164.0,157.0,435.0,430.0,1.0,24.0,10.0,2727.6,2519.0,1328.0,1210.0,263.0,1100.0,35.0,2513.0,143.0,6.0,161.0,0,1,0,0,A.J. Burnett,38,4579,"FLA, FLA, FLA, FLA, FLA, FLA, FLA, TOR, TOR, TOR, NYY, NYY, NYY, PIT, PIT, PHI, PIT","nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, AS","NL, NL, NL, NL, NL, NL, NL, AL, AL, AL, AL, AL, AL, NL, NL, NL, NL",1999-2015,0.486,4.015882352941176,3.962352941176471,1.3471176470588235,8.235294117647058,0.8529411764705882,3.888235294117647,8.129411764705882,no
18.0,12.0,141.0,21.0,49.0,0.0,0.0,252.5,268.0,160.0,136.0,54.0,104.0,6.0,267.0,5.0,1.0,11.0,0,0,0,0,A.J. Cole,29,19533,"WSN, WSN, WSN, TOT, WSN, NYY, CLE, TOR, TOR","nan, nan, nan, nan, nan, nan, nan, nan, nan","NL, NL, NL, MLB, NL, AL, AL, AL, AL",2015-2021,0.625,5.14,5.107777777777778,1.4645555555555556,9.9,1.9777777777777776,3.2777777777777777,9.2,active
34.0,21.0,88.0,85.0,2.0,2.0,2.0,478.2,437.0,240.0,231.0,94.0,147.0,3.0,403.0,18.0,1.0,9.0,0,0,0,0,A.J. Griffin,29,38142,"OAK, OAK, TEX, TEX","nan, nan, nan, nan","AL, AL, AL, AL",2012-2017,0.6485,4.4750000000000005,5.1,1.24025,8.350000000000001,1.775,2.825,7.475,no
9.0,12.0,179.0,0.0,54.0,0.0,0.0,158.5,152.0,73.0,67.0,10.0,68.0,8.0,191.0,4.0,1.0,11.0,0,0,0,0,A.J. Minter,27,67639,"ATL, ATL, ATL, ATL, ATL","nan, nan, nan, nan, nan","NL, NL, NL, NL, NL",2017-2021,0.35,3.6599999999999993,2.8,1.3474,8.4,0.58,3.7,11.34,active
0.0,0.0,7.0,0.0,3.0,0.0,0.0,10.0,9.0,7.0,7.0,2.0,8.0,0.0,9.0,0.0,0.0,0.0,0,0,0,0,A.J. Morris,29,69214,CIN,,NL,2016-2016,,6.3,6.35,1.7,8.1,1.8,7.2,8.1,no
2.0,2.0,16.0,4.0,6.0,0.0,0.0,35.2,37.0,19.0,17.0,6.0,18.0,1.0,23.0,0.0,0.0,0.0,0,0,0,0,A.J. Murray,26,70168,"TEX, TEX","nan, nan","AL, AL",2007-2008,0.6665,4.01,4.675,1.693,11.05,0.95,4.15,5.85,no
2.0,0.0,11.0,0.0,0.0,0.0,0.0,14.2,11.0,4.0,4.0,1.0,8.0,0.0,17.0,0.0,0.0,3.0,0,0,0,0,A.J. Puk,26,79888,"OAK, OAK","nan, nan","AL, AL",2019-2021,1.0,1.59,3.43,1.262,5.300000000000001,0.4,6.05,10.55,active
12.0,15.0,123.0,16.0,22.0,0.0,0.0,282.5,332.0,186.0,169.0,32.0,99.0,18.0,164.0,6.0,0.0,5.0,0,0,0,0,A.J. Sager,33,88488,"SDP, COL, DET, DET, DET","nan, nan, nan, nan, nan","NL, NL, AL, AL, AL",1994-1998,0.435,5.8100000000000005,4.486,1.5864,10.96,0.94,3.3600000000000003,5.24,no
6.0,2.0,73.0,0.0,17.0,0.0,0.0,93.0,89.0,43.0,33.0,9.0,32.0,4.0,78.0,1.0,0.0,4.0,0,0,0,0,A.J. Schugel,28,90292,"ARI, PIT, PIT","nan, nan, nan","NL, NL, NL",2015-2017,0.75,3.533333333333333,4.586666666666667,1.6293333333333333,10.933333333333332,1.1666666666666667,3.733333333333333,6.866666666666667,no
19.0,22.0,438.0,0.0,252.0,0.0,0.0,425.0,318.0,160.0,152.0,32.0,237.0,15.0,499.0,17.0,0.0,31.0,0,1,0,0,AJ Ramos,33,80349,"MIA, MIA, MIA, MIA, MIA, TOT, MIA, NYM, NYM, COL","nan, nan, nan, nan, AS, nan, nan, nan, nan, nan","NL, NL, NL, NL, NL, NL, NL, NL, NL, NL",2012-2020,0.4468571428571429,3.638,4.542,1.4761,7.7,1.16,5.58,10.09,no
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.2,4.0,7.0,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0,0,0,0,Aaron Ashby,23,3097,MIL,,NL,2021-2021,,54.0,16.67,10.5,54.0,0.0,40.5,0.0,active
6.0,3.0,95.0,0.0,20.0,0.0,0.0,72.60000000000001,68.0,38.0,33.0,3.0,33.0,3.0,86.0,5.0,1.0,8.0,0,0,0,0,Aaron Barrett,32,6031,"WSN, WSN, WSN, WSN","nan, nan, nan, nan","NL, NL, NL, NL",2014-2020,0.75,8.3725,6.315,2.18825,11.5,1.1,8.175,7.7,no
